"language_code","language_name","language_synonym","thesaurus_heading_language","thesaurus_heading_people","approximate_latitude_of_language_variety","approximate_longitude_of_language_variety","state_territory","uri"
"A1","Nyaki Nyaki / Njaki Njaki","Nyungar, Nyaki Nyaki, Nyagi Nyagi, Eastward tribe, Kaikan, Kar Kar, Karkar, Kikkar, Kilkar, Kokan, Kokar, Njagi, Njagi njagi, Njagiman, Njakinjaki, Nyakinyaki, Punuatch, Punwatch, Njagi Njagi","Nyaki Nyaki / Njaki Njaki language A1","Nyaki Nyaki / Njaki Njaki people A1","-32.390945191928","118.75508272649","WA","https://collection.aiatsis.gov.au/austlang/language/a1"
"A10","Ngurlu ","Wangkathaa, Maduwongga, Waljen, Wanggaji, Wangkayi, Pindini, Jaa, Jata, Kuru, Kurutjara, Nanu, Nata, Nguludjara, Ngulutjara, Njata","Ngurlu language A10","Ngurlu people A10","","","WA","https://collection.aiatsis.gov.au/austlang/language/a10"
"A100","Mardo ","Mardudjara","","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a100"
"A101","Naaguja ","Nowkadja","Naaguja language A101","","-28.135541101864","114.76447121893","WA","https://collection.aiatsis.gov.au/austlang/language/a101"
"A102","Pindiini ","Wangkatha, Bindinini, Pindini, Pintiini, Wangkathaa, Maduwongga, Ngurlu, Waljen, Wanggaji, Wangkayi, Bindunda, Pini, Wangaga, Wanggada, Wonga, Wongai i, Wongaidya, Wongaii, Wonggai, Wonggaii, Wongi, Wonkai, Won gaii","Pindiini language A102","","-29.465956641058","127.76626114849","WA","https://collection.aiatsis.gov.au/austlang/language/a102"
"A103","Wangkatja ","Wangkatha, Wangkayi","Wangkatja language A103","","-29.865930280067","122.69871203435","WA","https://collection.aiatsis.gov.au/austlang/language/a103"
"A104","Pijikala","","Pijikala language A104","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a104"
"A105","Nangu","","Nangu language A105","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a105"
"A106","Najanaja","","Najanaja language A106","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a106"
"A107","Nawurtu","","Nawurtu language A107","","","","WA","https://collection.aiatsis.gov.au/austlang/language/a107"
