language_code,language_name,language_synonym,thesaurus_heading_language,thesaurus_heading_people,approximate_latitude_of_language_variety,approximate_longitude_of_language_variety,state_territory,uri,category
A1,Nyaki Nyaki / Njaki Njaki,"Nyungar, Nyaki Nyaki, Nyagi Nyagi, Eastward tribe, Kaikan, Kar Kar, Karkar, Kikkar, Kilkar, Kokan, Kokar, Njagi, Njagi njagi, Njagiman, Njakinjaki, Nyakinyaki, Punuatch, Punwatch, Njagi Njagi",Nyaki Nyaki / Njaki Njaki language A1,Nyaki Nyaki / Njaki Njaki people A1,-32.39094519,118.7550827,WA,https://collection.aiatsis.gov.au/austlang/language/a1,Unique
A101,Naaguja ,Nowkadja,Naaguja language A101,,-28.1355411,114.7644712,WA,https://collection.aiatsis.gov.au/austlang/language/a101,Unique
A102,Pindiini ,"Wangkatha, Bindinini, Pindini, Pintiini, Wangkathaa, Maduwongga, Ngurlu, Waljen, Wanggaji, Wangkayi, Bindunda, Pini, Wangaga, Wanggada, Wonga, Wongai i, Wongaidya, Wongaii, Wonggai, Wonggaii, Wongi, Wonkai, Won gaii",Pindiini language A102,,-29.46595664,127.7662611,WA,https://collection.aiatsis.gov.au/austlang/language/a102,Unique
A103,Wangkatja ,"Wangkatha, Wangkayi",Wangkatja language A103,,-29.86593028,122.698712,WA,https://collection.aiatsis.gov.au/austlang/language/a103,Unique
A11,Waljen ,"Wangkathaa, Maduwongga, Ngurlu, Wanggaji, Wangkayi, Pindini, Koara, Waljwan, Walyen, Waula, wa",Waljen language A11,Waljen people A11,-29.231154,122.7229745,WA,https://collection.aiatsis.gov.au/austlang/language/a11,Unique
A12,Wangkatha ,"Wangatja, dialect of The Western Desert language, Wangkathaa, Maduwongga, Ngurlu, Waljen, Wanggaji, Wangkayi, Pindini, Bindinini, Bindunda, Pindiini, Pini, Wangaga, Wanggada, Wonga, Wongai i, Wongaidya, Wongaii, Wonggai, Wonggaii, Wongi, Wonkai, Wanggaji/Wanggayi, Wanggayi",Wangkatha language A12,Wangkatha people A12,-29.77825242,121.9180727,WA,https://collection.aiatsis.gov.au/austlang/language/a12,Unique
A13,Widi ,"Badimaya, Widimaya, Barimaia, Cheangwa, Jaburu, Minango, Minangu, Nanakardi, Nanakari, Nanakati, Nhanhakarti, Opee, Weeree, Wiri, Wirti, Wirtimaya, Witimay, Wirtimay, Wirdimay",Widi language A13,Widi people A13,-28.82675757,116.721527,WA,https://collection.aiatsis.gov.au/austlang/language/a13,Unique
A14,Badimaya,"Parti maya, Badimaia, Badimara, Barimaia, Nanakari, Patimara, Patimay, Baadeemaia, Badimala, Bardimaia, Bidungu, Padimaia, Padinaia, Parimaia, Waadal, Wallawe, WardalBadi maia, Yamadgee, Yamaji, Yamatji, Patimaya, Bardimaya, Badimay, Yamadyis, Wardal, Badimia",Badimaya language A14,Badimaya people A14,-28.59330827,117.1853249,WA,https://collection.aiatsis.gov.au/austlang/language/a14,Unique
A16,Kuwarra ,"Goara, Koara, Go:ara, Guwara, Kagara, Kogara, Konindja, Konindjara, Waula",Kuwarra language A16,Kuwarra people A16,-28.1820317,120.3453645,WA,https://collection.aiatsis.gov.au/austlang/language/a16,Unique
A17,Nangadadjara / Nyanganyatjara,"Ngaanyatjarra, Murunitja, Nangatadjara, Pindini, Tjeraridjal, Wanggatha, Alindjara, Ditu, Dituwonga, Nangandjara, Nangata, Nangatatjara, Nanggaranggu, Nanggatha, Ngaanyatjara, Ngalapita, Ngana, Nganandjara, Njingipalaru, Wangata, Njanganjadjara, Nyanganyadjara, Nagatatjara, Ngalap ita, Nangadadjara ",Nangadadjara / Nyanganyatjara language A17,Nangadadjara / Nyanganyatjara people A17,-28.68370166,124.8034463,WA,https://collection.aiatsis.gov.au/austlang/language/a17,Unique
